Date,Open,High,Low,Close,Adj Close,Volume
2000-02-14,4102.648,4323.35,4096.457,4322.373,4322.373,4166020000.0
2000-02-15,4442.12,4578.615,4343.58,4394.693,4394.693,4401459600.0
2000-02-16,4425.846,4475.015,4329.138,4457.414,4457.414,3252190800.0
2000-02-17,4564.59,4685.486,4256.26,4313.97,4313.97,4365602400.0
2000-02-18,4274.095,4360.425,4095.668,4356.603,4356.603,2528476000.0
2000-02-21,4389.42,4437.854,4275.298,4344.488,4344.488,2774268400.0
2000-02-22,4341.848,4395.908,4174.957,4186.695,4186.695,2141714800.0
2000-02-23,4134.872,4164.7,4039.87,4072.468,4072.468,1856141800.0
2000-02-24,4056.897,4222.655,4056.897,4221.842,4221.842,1478103400.0
2000-02-25,4254.67,4296.544,4189.372,4262.818,4262.818,1621413700.0
2000-02-28,4274.66,4506.052,4244.727,4481.738,4481.738,2263943400.0
2000-02-29,4523.95,4562.377,4369.482,4484.164,4484.164,2410648800.0
2000-03-01,4468.972,4510.38,4398.855,4427.2,4427.2,2048621200.0
2000-03-02,4409.147,4505.64,4375.88,4443.523,4443.523,1923532000.0
2000-03-03,4462.378,4581.614,4462.346,4488.268,4488.268,2463858800.0
2000-03-06,4519.992,4552.266,4311.89,4316.11,4316.11,2719510000.0
2000-03-07,4278.05,4401.652,4261.97,4399.95,4399.95,1853266800.0
2000-03-08,4411.976,4515.68,4373.834,4498.22,4498.22,1969146000.0
2000-03-09,4528.856,4606.71,4474.33,4548.685,4548.685,1790936400.0
2000-03-10,4559.53,4587.45,4450.314,4463.655,4463.655,1663691900.0
2000-03-13,4462.318,4520.79,4451.525,4495.92,4495.92,2170456400.0
2000-03-14,4377.18,4417.8,4239.932,4371.558,4371.558,2389748400.0
2000-03-15,4365.553,4415.472,4326.887,4333.89,4333.89,1794926800.0
2000-03-16,4304.6,4304.6,4100.777,4131.542,4131.542,1943641200.0
2000-03-17,4114.415,4327.975,4114.28,4315.0,4315.0,1544676200.0
2000-03-20,4252.172,4370.676,4231.785,4367.73,4367.73,1828766200.0
2000-03-21,4362.09,4406.87,4350.317,4387.27,4387.27,1794882400.0
2000-03-22,4394.233,4479.9,4384.684,4439.087,4439.087,1761210000.0
2000-03-23,4446.447,4492.907,4381.96,4492.432,4492.432,1941651400.0
2000-03-24,4515.38,4580.684,4455.646,4461.658,4461.658,2432621600.0
2000-03-27,4461.67,4574.226,4461.67,4571.664,4571.664,2373357800.0
2000-03-28,4615.474,4635.664,4546.372,4591.12,4591.12,2703919800.0
2000-03-29,4612.884,4629.554,4510.647,4559.862,4559.862,2208418400.0
2000-03-30,4566.426,4584.777,4539.326,4580.82,4580.82,2764212000.0
2000-03-31,4578.607,4578.607,4488.047,4532.312,4532.312,2251314000.0
2000-04-03,4523.905,4551.078,4506.404,4508.083,4508.083,2119839600.0
2000-04-04,4515.01,4515.01,4403.315,4413.746,4413.746,1789575200.0
2000-04-05,4398.446,4444.694,4381.85,4442.218,4442.218,1486477300.0
2000-04-06,4444.997,4528.807,4436.172,4527.666,4527.666,1659550000.0
2000-04-07,4553.344,4569.185,4513.137,4556.892,4556.892,1991674200.0
2000-04-10,4556.812,4589.93,4522.692,4546.442,4546.442,1930824400.0
2000-04-11,4556.96,4619.4,4511.938,4595.07,4595.07,1676347000.0
2000-04-12,4609.2,4616.773,4499.358,4538.652,4538.652,1411883900.0
2000-04-13,4537.462,4615.47,4528.59,4601.473,4601.473,1608751800.0
2000-04-14,4624.45,4645.884,4585.602,4619.185,4619.185,1828773600.0
2000-04-17,4615.118,4627.033,4495.407,4544.482,4544.482,1981915600.0
2000-04-18,4543.78,4578.043,4501.888,4568.433,4568.433,1235897000.0
2000-04-19,4586.902,4611.65,4567.996,4574.25,4574.25,1350784600.0
2000-04-20,4580.714,4600.912,4574.05,4587.934,4587.934,1472324400.0
2000-04-21,4598.613,4615.748,4551.49,4559.354,4559.354,1521510600.0
2000-04-24,4554.835,4575.742,4518.745,4533.51,4533.51,1398070100.0
2000-04-25,4535.884,4558.51,4495.14,4528.92,4528.92,1080345300.0
2000-04-26,4540.507,4593.363,4536.57,4554.846,4554.846,1038856600.0
2000-04-27,4571.884,4612.253,4539.466,4553.952,4553.952,1235057200.0
2000-04-28,4556.917,4685.382,4531.723,4683.17,4683.17,1233394000.0
2000-05-08,4708.532,4721.562,4641.215,4651.648,4651.648,1052454100.0
2000-05-09,4646.99,4649.73,4523.964,4554.06,4554.06,989094600.0
2000-05-10,4535.66,4535.66,4428.052,4438.822,4438.822,958774600.0
2000-05-11,4419.717,4468.6,4355.5,4367.384,4367.384,796209600.0
2000-05-12,4368.637,4423.496,4347.9,4378.45,4378.45,741547000.0
2000-05-15,4370.115,4392.455,4275.864,4296.918,4296.918,689813500.0
2000-05-16,4296.507,4353.745,4296.507,4346.123,4346.123,591391100.0
2000-05-17,4349.824,4405.45,4314.187,4357.094,4357.094,725872800.0
2000-05-18,4361.57,4439.94,4341.51,4439.386,4439.386,951408000.0
2000-05-19,4447.532,4482.443,4417.948,4479.366,4479.366,1146567000.0
2000-05-22,4494.74,4620.55,4484.644,4573.426,4573.426,1498285800.0
2000-05-23,4594.486,4606.573,4517.472,4547.504,4547.504,1282830400.0
2000-05-24,4549.948,4648.27,4549.825,4616.098,4616.098,1600999900.0
2000-05-25,4638.192,4690.698,4635.525,4677.287,4677.287,1756720400.0
2000-05-26,4698.023,4722.825,4630.398,4662.295,4662.295,1963933400.0
2000-05-29,4675.11,4718.64,4661.046,4701.227,4701.227,1972610000.0
2000-05-30,4722.016,4736.722,4616.266,4640.02,4640.02,1766234600.0
2000-05-31,4629.308,4666.986,4614.29,4643.155,4643.155,1566071400.0
2000-06-01,4665.013,4703.23,4665.013,4695.466,4695.466,1433170000.0
2000-06-02,4700.104,4728.938,4664.997,4728.882,4728.882,1788432400.0
2000-06-05,4744.38,4781.77,4698.103,4721.136,4721.136,3033106000.0
2000-06-06,4727.73,4826.937,4727.73,4824.79,4824.79,1902504000.0
2000-06-07,4856.412,4875.05,4800.232,4826.19,4826.19,1723101000.0
2000-06-08,4832.52,4834.586,4739.952,4760.34,4760.34,1616212000.0
2000-06-09,4767.37,4796.33,4708.922,4731.388,4731.388,1454732400.0
2000-06-12,4718.817,4742.733,4690.16,4737.88,4737.88,1182883300.0
2000-06-13,4742.18,4790.023,4730.006,4790.023,4790.023,1226893000.0
2000-06-14,4792.19,4799.526,4759.39,4766.485,4766.485,1508246100.0
2000-06-15,4769.208,4795.357,4742.62,4793.615,4793.615,1449265400.0
2000-06-16,4801.456,4811.515,4746.82,4757.173,4757.173,1572466800.0
2000-06-19,4755.547,4792.68,4737.35,4752.922,4752.922,1228155500.0
2000-06-20,4751.97,4773.533,4715.412,4733.93,4733.93,1076082300.0
2000-06-21,4754.3,4789.762,4741.19,4788.61,4788.61,953571100.0
